# DOT committed-system per-trade table (spec B.2 open item 8)
# book=FROZEN ratified book (book50_signals.csv)
# dataset_rows=177251 range=2026.01.19 15:49 -> 2026.07.21 17:09
# population=FULL (BOOK F0+F1 plus gap fillers). BOOK-only = rows whose signal_name is not GAP_HURST/GAP_FB/GAP_D2D.
# oracle_sha256_12=518862bf19fb engine_sha256_12=bb498eb13ce3
signal_idx,signal_name,direction,lots,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,exit_type,tiers,be_nudged,initial_risk
16,L_17_AT_Lookb+AT_Slope+Micro_Ro,LONG,1.25,7096,7149,2026.01.27 01:25,2026.01.27 02:18,49245.08,49252.483669400004,5.5,4.4,BE,1,True,24.678898
36,L_37_AT_Slope+Micro_Ro+RangeOsc,LONG,1.25,7096,7149,2026.01.27 01:25,2026.01.27 02:18,49245.08,49252.483669400004,5.5,4.4,BE,1,True,24.678898
17,L_18_Micro_Vo+AT_Regim+OR_Low_S,LONG,1.25,8001,8002,2026.01.27 16:30,2026.01.27 16:31,49107.5,48957.5,-191.2,-153.0,SL,0,False,150.0
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.25,8002,8004,2026.01.27 16:31,2026.01.27 16:33,48958.5,49003.5,52.5,42.0,BE,1,True,150.0
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.25,8002,8004,2026.01.27 16:31,2026.01.27 16:33,48958.5,49003.5,52.5,42.0,BE,1,True,150.0
17,L_18_Micro_Vo+AT_Regim+OR_Low_S,LONG,1.25,8002,8004,2026.01.27 16:31,2026.01.27 16:33,48958.5,49003.5,52.5,42.0,BE,1,True,150.0
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,1.25,8002,8004,2026.01.27 16:31,2026.01.27 16:33,48958.5,49003.5,52.5,42.0,BE,1,True,150.0
45,L_46_Micro_En+Micro_HL+OR_Low_S,LONG,1.25,8002,8004,2026.01.27 16:31,2026.01.27 16:33,48958.5,49003.5,52.5,42.0,BE,1,True,150.0
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.25,8004,8007,2026.01.27 16:33,2026.01.27 16:36,49022.5,49067.5,52.5,42.0,BE,1,True,150.0
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.25,8004,8007,2026.01.27 16:33,2026.01.27 16:36,49022.5,49067.5,52.5,42.0,BE,1,True,150.0
7,L_8_OBV_Macd+Micro_Mi+Micro_Ro,LONG,1.25,8004,8007,2026.01.27 16:33,2026.01.27 16:36,49022.5,49067.5,52.5,42.0,BE,1,True,150.0
17,L_18_Micro_Vo+AT_Regim+OR_Low_S,LONG,1.25,8004,8007,2026.01.27 16:33,2026.01.27 16:36,49022.5,49067.5,52.5,42.0,BE,1,True,150.0
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,1.25,8004,8007,2026.01.27 16:33,2026.01.27 16:36,49022.5,49067.5,52.5,42.0,BE,1,True,150.0
24,L_25_Bars_Sin+Volume_A+Session_,LONG,1.25,8004,8007,2026.01.27 16:33,2026.01.27 16:36,49022.5,49067.5,52.5,42.0,BE,1,True,150.0
17,L_18_Micro_Vo+AT_Regim+OR_Low_S,LONG,1.0,8007,8015,2026.01.27 16:36,2026.01.27 16:44,49039.5,49071.4981224,29.0,29.0,BE,1,True,106.660408
24,L_25_Bars_Sin+Volume_A+Session_,LONG,1.0,8007,8015,2026.01.27 16:36,2026.01.27 16:44,49039.5,49071.4981224,29.0,29.0,BE,1,True,106.660408
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.0,8009,8017,2026.01.27 16:38,2026.01.27 16:46,49003.5,49030.7525628,24.3,24.3,LF,3,True,90.841876
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.0,8009,8017,2026.01.27 16:38,2026.01.27 16:46,49003.5,49030.7525628,24.3,24.3,LF,3,True,90.841876
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,1.0,8010,8018,2026.01.27 16:39,2026.01.27 16:47,48964.5,49017.2988216,49.8,49.8,LF,4,True,87.998036
