# DOT S8B spec D.0.1 directional coverage baseline — PROPERTY OF THE MARKET (price-only, no signals)
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# Parameters: W=30, K=p85 of |disp|/ATR_1M, E=p75 directional efficiency, thresholds via oracle mechanism D.
# THE MASK IS PART OF THE FINDING: absolute counts move by roughly 2x between masks; the up/down ratio does not.
# Both masks are emitted for exactly that reason (spec D.0.2 reproduction note).
# scope=ALL rows carry thrust bar counts and median move; scope=YYYY.MM rows carry down-share and, in
# median_move_pts, that month net price change in points.
scope,direction,thrust_bars,share_pct,median_move_pts,W,K_pct,E_pct,mask
ALL,UP,12437,50.3,72.9,30,0.85,0.75,post-warmup
ALL,DOWN,12293,49.7,80.0,30,0.85,0.75,post-warmup
2026.01,DOWN_SHARE,824,50.4,-165.0,30,0.85,0.75,post-warmup
2026.02,DOWN_SHARE,3993,51.7,99.0,30,0.85,0.75,post-warmup
2026.03,DOWN_SHARE,4250,55.1,-2082.0,30,0.85,0.75,post-warmup
2026.04,DOWN_SHARE,4299,44.3,3437.0,30,0.85,0.75,post-warmup
2026.05,DOWN_SHARE,4158,48.9,1234.0,30,0.85,0.75,post-warmup
2026.06,DOWN_SHARE,4177,48.1,1238.0,30,0.85,0.75,post-warmup
2026.07,DOWN_SHARE,3029,50.3,-84.0,30,0.85,0.75,post-warmup
ALL,UP,6371,49.1,106.5,30,0.85,0.75,eligible-universe
ALL,DOWN,6616,50.9,106.0,30,0.85,0.75,eligible-universe
2026.01,DOWN_SHARE,441,54.0,-165.0,30,0.85,0.75,eligible-universe
2026.02,DOWN_SHARE,1914,56.1,99.0,30,0.85,0.75,eligible-universe
2026.03,DOWN_SHARE,2906,56.1,-2082.0,30,0.85,0.75,eligible-universe
2026.04,DOWN_SHARE,1996,43.2,3437.0,30,0.85,0.75,eligible-universe
2026.05,DOWN_SHARE,1898,54.2,1234.0,30,0.85,0.75,eligible-universe
2026.06,DOWN_SHARE,2416,46.0,1238.0,30,0.85,0.75,eligible-universe
2026.07,DOWN_SHARE,1416,47.4,-84.0,30,0.85,0.75,eligible-universe
