# DOT S5B spec C.1 DepthYield — PROPERTY OF THE BOOK (incumbent reference)
# dataset_rows=177251 segment=2026.01..2026.07 traded_days=122
# DepthYield is a PAIR (LONG, SHORT), evaluated within direction and normalised by that direction
# signal count. IT IS NEVER SUMMED. S is reported over {3,4,5,6,7}; default 5. N=5 fixed (spec 0.1.3),
# N=10 emitted as mandatory sensitivity. Raw and normalised ratios shown beside the signal-count ratio.
DepthYield_LONG,DepthYield_SHORT,clusters_ge_S_LONG,clusters_ge_S_SHORT,S,N,traded_days,signals_LONG,signals_SHORT,raw_ratio_long_short,normalised_ratio_long_short,signal_count_ratio,population
0.05073105892778024,0.03720050441361917,229,59,3,5,122,37,13,3.881,1.364,2.846,BOOK
0.035002215330084185,0.014501891551071878,158,23,4,5,122,37,13,6.87,2.414,2.846,BOOK
0.02503322995126274,0.007566204287515763,113,12,5,5,122,37,13,9.417,3.309,2.846,BOOK
0.01860877270713336,0.004413619167717529,84,7,6,5,122,37,13,12.0,4.216,2.846,BOOK
0.013956579530350023,0.0037831021437578815,63,6,7,5,122,37,13,10.5,3.689,2.846,BOOK
0.0485157288435977,0.04981084489281211,219,79,3,10,122,37,13,2.772,0.974,2.846,BOOK
0.037439078422684985,0.025851197982345524,169,41,4,10,122,37,13,4.122,1.448,2.846,BOOK
0.028799291094373063,0.013871374527112233,130,22,5,10,122,37,13,5.909,2.076,2.846,BOOK
0.022153300841825433,0.01008827238335435,100,16,6,10,122,37,13,6.25,2.196,2.846,BOOK
0.017279574656623838,0.005044136191677175,78,8,7,10,122,37,13,9.75,3.426,2.846,BOOK
