# DOT S5B spec G.2 domain-bridging rule applied to the incumbent F0 triples — PROPERTY OF THE BOOK
# dataset_rows=177251 segment=2026.01..2026.07
# rule: a candidate triple must draw from at least 2 distinct functional domains.
# Applied here RETROSPECTIVELY as a fixture. It is not applied to the committed book and removes nothing.
# Domains are assigned by variable provenance; spec G.2 requires measured communities to govern where the two disagree.
signal_def,direction,domains,n_domains,passes_2domain_rule
KAMA_Dist:lo + Micro_WickImbalance:hi + OR_High_Side:==-1,LONG,micro;structural_trend;temporal_session,3,True
Micro_MomoTransfer:hi + Micro_RangeAccel:lo + AT_Regime_LT:==1,LONG,micro;structural_trend,2,True
KAMA_Dist:lo + Micro_WickImbalance:hi + PrevDay_High_Side:==-1,LONG,micro;structural_trend;temporal_session,3,True
Micro_VPIN:lo + Volume:hi + ST_Flip_Event:==-1,LONG,adaptive_vol;micro;structural_trend,3,True
OBV_Macd:lo + Sqz_State:==1 + RangeOsc_State:==-2,LONG,adaptive_vol;d2d_obv,2,True
Micro_OrderFlowDelta:lo + Session_Low_Dist_ATR:lo + ADX_Value:hi,LONG,adaptive_vol;micro;structural_trend,3,True
OBV_Macd:lo + Micro_LogReturn:lo + Micro_Rejection:lo,LONG,d2d_obv;micro,2,True
OBV_Macd:lo + Micro_MicroGap:hi + Micro_RollProxy:hi,LONG,d2d_obv;micro,2,True
Micro_IBSP:lo + VWAP_Sigma:lo + Volume:hi,LONG,adaptive_vol;micro;volume_profile,3,True
OBV_Macd:lo + Micro_Lambda:lo + Micro_RollProxy:hi,LONG,d2d_obv;micro,2,True
OBVf_DirStepCount:hi + VAL_Side:==0 + WeeklyOpen_Side:==-1,SHORT,d2d_obv;temporal_session;volume_profile,3,True
Micro_IBSP:hi + Micro_VolAccel:hi + VWAP_Z:lo,SHORT,micro;volume_profile,2,True
EMA_Oscillator:lo + Micro_Hurst:hi + ADX_Value:lo,SHORT,micro;structural_trend,2,True
Efficiency_Ratio:hi + Micro_BarEntropy:hi + Body_Size:hi,SHORT,micro;structural_trend;unclassified,3,True
Bar_Range:hi + Micro_Lambda:lo + RangeOsc_State:==2,LONG,adaptive_vol;micro,2,True
D2D_ATR:hi + AT_Slope_ST:lo + Bars_Since_Flip:hi,LONG,adaptive_vol;structural_trend,2,True
AT_Lookback_ST:hi + AT_Slope_ST:lo + Micro_RollProxy:hi,LONG,micro;structural_trend,2,True
Micro_VolOfVol:hi + AT_Regime_ST:==1 + OR_Low_Side:==-1,LONG,micro;structural_trend;temporal_session,3,True
D2D_ATR_MA:hi + AT_Slope_ST:lo + Micro_VolOfVol:hi,LONG,adaptive_vol;micro;structural_trend,3,True
Bar_Range:hi + Micro_MomoTransfer:hi + Micro_TickIntensity:hi,LONG,adaptive_vol;micro,2,True
Bar_Range:hi + OBV_Macd:lo + Micro_TickIntensity:hi,LONG,adaptive_vol;d2d_obv;micro,3,True
AT_Lookback_ST:hi + Sqz_Val:hi + Micro_TickIntensity:hi,SHORT,adaptive_vol;micro;structural_trend,3,True
VWAP_Dist_ATR:lo + D2D_Signal:==1 + VWAP_Side:==1,LONG,adaptive_vol;d2d_obv;volume_profile,3,True
Bars_Since_Flip:hi + PrevDay_Low_Dist_ATR:lo + OR_Low_Side:==-1,LONG,adaptive_vol;structural_trend;temporal_session,3,True
Bars_Since_Flip:hi + Volume_Avg_10:hi + Session_Low_Dist_ATR:lo,LONG,adaptive_vol;structural_trend,2,True
Bars_Since_Flip:hi + Slope_Accel_LT:hi + Micro_VPIN:lo,LONG,micro;structural_trend,2,True
Round_500_Dist_ATR:lo + DailyOpen_Side:==1 + OR_Low_Side:==-1,LONG,adaptive_vol;temporal_session,2,True
D2D_Dynamic_Sensitivity:lo + Upper_Wick:hi + VAH_Side:==-1,SHORT,d2d_obv;unclassified;volume_profile,3,True
Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + Micro_Rejection:lo,LONG,micro;structural_trend,2,True
Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + Micro_OrderFlowDelta:lo,LONG,micro;structural_trend,2,True
Slope_EMA_ST:lo + Micro_RangeVelocity:hi + D2D_DirStep:==-1,LONG,d2d_obv;micro;structural_trend,3,True
Slope_Accel_LT:hi + Sqz_State:==1 + RangeOsc_State:==-2,LONG,adaptive_vol;structural_trend,2,True
Slope_EMA_ST:hi + Micro_Rejection:lo + Session_Low_Dist_ATR:lo,LONG,adaptive_vol;micro;structural_trend,3,True
Slope_Accel_LT:hi + Micro_TickIntensity:hi + PrevDay_Low_Side:==-1,LONG,micro;structural_trend;temporal_session,3,True
AT_Slope_ST:lo + Micro_AutoCorr:hi + D2D_DirStep:==1,LONG,d2d_obv;micro;structural_trend,3,True
AT_Slope_ST:lo + Momentum_Value:hi + AT_Regime_ST:==1,LONG,structural_trend,1,False
AT_Slope_ST:lo + Micro_RollProxy:hi + RangeOsc_State:==-1,LONG,adaptive_vol;micro;structural_trend,3,True
AT_Slope_ST:lo + Micro_VolOfVol:hi + Volume:hi,LONG,adaptive_vol;micro;structural_trend,3,True
Slope_Accel_LT:lo + Sqz_Val:hi + Micro_CSSpread:lo,SHORT,adaptive_vol;micro;structural_trend,3,True
Slope_Accel_LT:lo + Micro_OrderFlowDelta:hi + PoC_Side:==0,SHORT,micro;structural_trend;volume_profile,3,True
AT_Slope_ST:lo + Sqz_Val:hi + Micro_CSSpread:lo,SHORT,adaptive_vol;micro;structural_trend,3,True
Slope_EMA_ST:lo + Micro_ThrustEff:hi + ADX_Value:lo,SHORT,micro;structural_trend,2,True
AT_Slope_ST:hi + Micro_MicroGap:lo + Upper_Wick:hi,SHORT,micro;structural_trend;unclassified,3,True
Micro_Rejection:lo + AT_Regime_ST:==1 + PrevDay_Low_Side:==-1,LONG,micro;structural_trend;temporal_session,3,True
Micro_MicroGap:lo + AT_Regime_ST:==1 + OR_Low_Side:==-1,LONG,micro;structural_trend;temporal_session,3,True
Micro_Entropy:lo + Micro_HLAsymmetry:lo + OR_Low_Side:==-1,LONG,micro;temporal_session,2,True
Micro_VolAccel:hi + Body_Size:lo + OR_Low_Side:==-1,SHORT,micro;temporal_session;unclassified,3,True
Volume_Ratio_10:lo + Micro_RollProxy:lo + Volume:hi,SHORT,adaptive_vol;micro,2,True
