# DOT S5B spec C.2 mCVaR per signal — PROPERTY OF THE BOOK (incumbent reference)
# dataset_rows=177251 segment=2026.01..2026.07
# mCVaR = CVaR / signal lot share. More negative = worse tail concentration.
# C_max = 10th percentile of the incumbent mCVaR distribution (= 90th percentile of tail severity) = -1429.06
# Constraint direction: a candidate fails if its worst mCVaR is BELOW C_max.
signal_name,CVaR,lot_share,mCVaR,worst_days_used,worst_frac
L_10_OBV_Macd+Micro_La+Micro_Ro,0.0,0.017786872343774594,0.0,6,0.05
L_15_Bar_Rang+Micro_La+RangeOsc,-16.650000000000002,0.034865417912797105,-477.55056433408583,6,0.05
L_16_D2D_ATR+AT_Slope+Bars_Sin,0.0,0.014796159294821344,0.0,6,0.05
L_17_AT_Lookb+AT_Slope+Micro_Ro,0.0,0.021564615142452385,0.0,6,0.05
L_18_Micro_Vo+AT_Regim+OR_Low_S,3.4,0.03124508106406422,108.81712846347607,6,0.05
L_19_D2D_ATR_+AT_Slope+Micro_Vo,0.0,0.01629151581929797,0.0,6,0.05
L_1_KAMA_Dis+Micro_Wi+OR_High_,-10.966666666666667,0.02030536754289312,-540.0870801033592,6,0.05
L_20_Bar_Rang+Micro_Mo+Micro_Ti,0.0,0.015976703919408152,0.0,6,0.05
L_21_Bar_Rang+OBV_Macd+Micro_Ti,0.0,0.018810011018416496,0.0,6,0.05
L_23_VWAP_Dis+D2D_Sign+VWAP_Sid,-32.56666666666666,0.021485912167479932,-1515.7218559218556,6,0.05
L_24_Bars_Sin+PrevDay_+OR_Low_S,0.0,0.01668503069416024,0.0,6,0.05
L_25_Bars_Sin+Volume_A+Session_,1.9166666666666667,0.014087832520069258,136.0512104283054,6,0.05
L_26_Bars_Sin+Slope_Ac+Micro_VP,0.0,0.0169211396190776,0.0,6,0.05
L_27_Round_50+DailyOpe+OR_Low_S,-38.96666666666667,0.0347080119628522,-1122.699470899471,6,0.05
L_29_Slope_EM+Micro_HL+Micro_Re,4.233333333333333,0.019754446718085943,214.29774236387783,6,0.05
L_2_Micro_Mo+Micro_Ra+AT_Regim,-7.95,0.02093499134267275,-379.74699248120305,6,0.05
L_30_Slope_EM+Micro_HL+Micro_Or,-31.583333333333332,0.015347080119628521,-2057.937606837607,6,0.05
L_31_Slope_EM+Micro_Ra+D2D_DirS,-23.683333333333334,0.01668503069416024,-1419.4360062893081,6,0.05
L_32_Slope_Ac+Sqz_Stat+RangeOsc,-7.716666666666666,0.023768298441681095,-324.6621412803532,6,0.05
L_33_Slope_EM+Micro_Re+Session_,0.0,0.026129387690854714,0.0,6,0.05
L_34_Slope_Ac+Micro_Ti+PrevDay_,-7.716666666666666,0.02801825909019361,-275.41563670411983,6,0.05
