# DOT S5B spec C.1 DepthYield — PROPERTY OF THE BOOK (incumbent reference)
# dataset_rows=177251 segment=2026.01..2026.07 traded_days_entry_basis=121 traded_days_exit_basis=122
# traded-day denominator = 121 on the BOOK ENTRY-BAR basis (clusters are built from entry bars, so the entry
# basis is the coherent pairing and matches spec C.1). The exit-basis count is emitted alongside for contrast.
# THIS ALIGNMENT APPLIES TO DepthYield ONLY. Spec H.2 resamples from ALL post-warmup trading days in the series,
# not the book footprint, and changing that pool to a traded-day count would reintroduce the incumbency bias
# H.2 exists to avoid.
# DepthYield is a PAIR (LONG, SHORT), evaluated within direction and normalised by that direction
# signal count. IT IS NEVER SUMMED. S is reported over {3,4,5,6,7}; default 5. N=5 fixed (spec 0.1.3),
# N=10 emitted as mandatory sensitivity. Raw and normalised ratios shown beside the signal-count ratio.
DepthYield_LONG,DepthYield_SHORT,clusters_ge_S_LONG,clusters_ge_S_SHORT,S,N,traded_days,signals_LONG,signals_SHORT,raw_ratio_long_short,normalised_ratio_long_short,signal_count_ratio,population
0.051150323877596604,0.03750794659885569,229,59,3,5,121,37,13,3.881,1.364,2.846,BOOK
0.035291489836944384,0.014621741894469168,158,23,4,5,121,37,13,6.87,2.414,2.846,BOOK
0.02524011614920706,0.007628734901462175,113,12,5,5,121,37,13,9.417,3.309,2.846,BOOK
0.018762564217109673,0.004450095359186269,84,7,6,5,121,37,13,12.0,4.216,2.846,BOOK
0.014071923162832255,0.0038143674507310874,63,6,7,5,121,37,13,10.5,3.689,2.846,BOOK
0.04891668528032164,0.050222504767959315,219,79,3,10,121,37,13,2.772,0.974,2.846,BOOK
0.03774849229394684,0.026064844246662427,169,41,4,10,121,37,13,4.122,1.448,2.846,BOOK
0.029037301764574492,0.013986013986013986,130,22,5,10,121,37,13,5.909,2.076,2.846,BOOK
0.02233638597274961,0.010171646535282899,100,16,6,10,121,37,13,6.25,2.196,2.846,BOOK
0.017422381058744694,0.0050858232676414495,78,8,7,10,121,37,13,9.75,3.426,2.846,BOOK
