# DOT S3B D2D gate measurement (spec E.1, the four-part protocol) — PROPERTY OF THE BOOK
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# THE GATE IS NOT REMOVED AND ITS OUTCOME IS NOT PRE-JUDGED. This measures; it does not decide.
# Variants are D2D_Trend_Dir STATE COLUMN changes only; no bar deleted, no engine logic altered.
# LIMIT: a single-run full removal across both directions is not computable without editing sacred
# build_signal_masks (one column cannot satisfy ==+1 and ==-1 on the same bar). The per-direction
# free runs are exact within their direction but isolate the jar. Resolving measurement: an authorised
# d2d_gate=on/off parameter on run_portfolio, which requires documented human authorisation.
# Bucketing = calendar month (spec H.3 primary rule), reported per bucket AND aggregate.
variant,variant_desc,population,bucket,trades,net,PF,WR_pct,daily_worst_day,DepthYield_N5,population_label,H3_bucketing,tolerance_N,dataset_rows,note
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,AGGREGATE,2678,77238.7,5.14,91.3,-639.1,1.025,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.01,175,4185.8,7.59,95.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.02,515,14799.4,6.0,93.2,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.03,573,16905.1,6.02,91.8,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.04,367,11476.7,6.07,91.6,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.05,302,11972.3,10.58,92.1,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.06,468,12506.0,4.31,91.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,BOOK,2026.07,278,5393.4,2.22,82.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,AGGREGATE,397,7731.7,2.7,86.9,-273.3,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.01,14,43.9,1.31,85.7,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.02,76,2326.1,8.43,93.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.03,100,2322.4,3.93,89.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.04,49,1519.1,10.45,95.9,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.05,37,656.7,2.7,86.5,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.06,80,1725.7,2.41,85.0,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
baseline_gate_on,real D2D_Trend_Dir; the committed gate,F0-solo,2026.07,41,-862.2,0.43,63.4,,,BOOK,calendar month (spec H.3 primary rule),5,177251,single-run full gate removal is not computable without editing sacred build_signal_masks; per-direction free runs isolate the jar
