family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,D2D_Up_Count:hi@p50,LONG,aligned,standard,2232,101.45,21.057,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p50,SHORT,counter,standard,2232,101.45,21.057,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p60,LONG,aligned,standard,2232,101.45,21.057,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p60,SHORT,counter,standard,2232,101.45,21.057,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p70,LONG,aligned,standard,2232,101.45,21.057,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p70,SHORT,counter,standard,2232,101.45,21.057,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p80,LONG,aligned,standard,2232,101.45,21.057,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p80,SHORT,counter,standard,2232,101.45,21.057,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p90,LONG,aligned,standard,2232,101.45,21.057,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p90,SHORT,counter,standard,2232,101.45,21.057,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p95,LONG,aligned,standard,2205,100.23,20.802,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p95,SHORT,counter,standard,2205,100.23,20.802,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p97,LONG,aligned,standard,2204,100.18,20.792,156,82.7,82.7,82.7,1.693,-414.5,4,21,14,5,4,0,0,68.8,False,none
F13,D2D_Up_Count:hi@p97,SHORT,counter,standard,2204,100.18,20.792,155,73.5,74.0,73.5,1.218,-234.3,4,21,12,5,4,1,0,62.5,False,none
F13,D2D_Up_Count:hi@p99,LONG,aligned,standard,201,9.14,1.896,9,88.9,88.9,88.9,1.239,-135.2,1,2,1,3,2,0,0,57.1,False,none
F13,D2D_Up_Count:hi@p99,SHORT,counter,standard,201,9.14,1.896,8,62.5,62.5,62.5,0.613,-213.9,1,2,1,3,1,0,0,42.9,False,none
F13,DailyOpen_Dist_ATR:hi@p50,LONG,aligned,standard,42110,1914.09,397.264,485,79.2,79.3,79.2,1.194,-429.4,5,22,14,5,4,1,0,69.7,False,none
F13,DailyOpen_Dist_ATR:hi@p50,LONG,counter,standard,39067,1775.77,368.557,543,82.0,81.9,82.0,1.354,-265.5,6,22,18,5,5,2,1,87.9,False,none
F13,DailyOpen_Dist_ATR:hi@p50,SHORT,aligned,standard,39067,1775.77,368.557,540,79.1,79.2,79.1,1.097,-238.5,3,22,13,5,4,2,1,60.6,False,none
F13,DailyOpen_Dist_ATR:hi@p50,SHORT,counter,standard,42110,1914.09,397.264,490,79.0,79.3,79.0,1.193,-354.2,4,22,14,5,2,2,0,60.6,False,none
F13,DailyOpen_Dist_ATR:hi@p60,LONG,aligned,standard,35281,1603.68,332.84,366,79.2,79.5,79.2,1.158,-615.6,4,21,13,5,4,1,0,65.6,False,none
F13,DailyOpen_Dist_ATR:hi@p60,LONG,counter,standard,31894,1449.73,300.887,405,83.7,83.9,83.7,1.59,-234.3,5,21,17,5,4,2,1,81.2,False,none
F13,DailyOpen_Dist_ATR:hi@p60,SHORT,aligned,standard,31894,1449.73,300.887,398,79.4,79.4,79.4,1.136,-232.0,3,21,10,5,4,0,0,53.1,False,none
F13,DailyOpen_Dist_ATR:hi@p60,SHORT,counter,standard,35281,1603.68,332.84,376,79.3,79.7,79.3,1.151,-513.9,4,21,13,5,2,2,0,59.4,False,none
F13,DailyOpen_Dist_ATR:hi@p70,LONG,aligned,standard,28281,1285.5,266.802,266,75.9,76.2,75.9,1.079,-573.3,3,19,11,5,4,1,0,62.1,False,none
