family,signal_def,direction,d2d_mode,gating,trades,total_firings,firings_per_week,firings_per_day,mask_bars,WR,wr_pre_fc,wr_post_fc,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,persistence,exit_FC,exit_EOD,survival,tier
F13,Sqz_Val:hi@p99,SHORT,aligned,standard,24,24,1.09,0.226,135,100.0,100.0,100.0,999.0,11.2,5,10,10,5,5,100.0,0,0,False,surface
F13,Micro_FractalDim:hi@p95,LONG,counter,standard,19,19,0.86,0.179,713,100.0,100.0,100.0,999.0,15.8,4,5,5,4,4,100.0,0,0,False,surface
F13,RangeOsc_Val:hi@p95,LONG,counter,standard,18,18,0.82,0.17,343,100.0,100.0,100.0,999.0,21.4,5,8,8,4,4,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p30,SHORT,counter,standard,17,17,0.77,0.16,41769,100.0,100.0,100.0,999.0,10.4,5,11,11,5,5,100.0,0,0,False,surface
F13,Session_High_Dist_ATR:hi@p99,LONG,aligned,standard,15,15,0.68,0.142,3161,100.0,100.0,100.0,999.0,9.2,3,4,4,2,2,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p10,SHORT,counter,standard,13,13,0.59,0.123,28182,100.0,100.0,100.0,999.0,15.6,4,10,10,5,5,100.0,0,0,False,surface
F13,AT_Score_LT:hi@p99,SHORT,aligned,standard,12,12,0.55,0.113,1424,100.0,100.0,100.0,999.0,16.3,4,7,7,4,4,100.0,0,0,False,surface
F13,AT_Score_LT:lo@p1,LONG,aligned,standard,12,12,0.55,0.113,763,100.0,100.0,100.0,999.0,16.7,2,4,4,3,3,100.0,0,0,False,surface
F13,Session_High_Dist_ATR:lo@p1,LONG,counter,standard,11,11,0.5,0.104,158,100.0,100.0,100.0,999.0,13.4,4,9,9,5,5,100.0,0,0,False,surface
F13,TChan_A15:lo@p5,SHORT,aligned,standard,9,9,0.41,0.085,11649,100.0,100.0,100.0,999.0,11.2,2,5,5,3,3,100.0,0,0,False,surface
F13,RangeOsc_Val:lo@p5,LONG,aligned,standard,9,9,0.41,0.085,203,100.0,100.0,100.0,999.0,13.9,5,6,6,3,3,100.0,0,0,False,surface
F13,RangeOsc_Val:hi@p97,LONG,counter,standard,9,9,0.41,0.085,198,100.0,100.0,100.0,999.0,12.0,5,6,6,3,3,100.0,0,0,False,surface
F13,KAMA_Slope:lo@p5,SHORT,counter,standard,9,9,0.41,0.085,34,100.0,100.0,100.0,999.0,12.0,3,5,5,3,3,100.0,0,0,False,surface
F13,Harmonic_LLEMA:lo@p5,SHORT,counter,standard,9,9,0.41,0.085,21,100.0,100.0,100.0,999.0,12.0,3,5,5,3,3,100.0,0,0,False,surface
F13,Volume_Ratio_10:lo@p10,SHORT,aligned,standard,8,8,0.36,0.075,13680,100.0,100.0,100.0,999.0,13.6,3,5,5,4,4,100.0,0,0,False,surface
F13,Micro_BarEntropy:lo@p1,LONG,counter,standard,7,7,0.32,0.066,523,100.0,100.0,100.0,999.0,24.2,1,3,3,3,3,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p20,LONG,aligned,standard,6,6,0.27,0.057,34951,100.0,100.0,100.0,999.0,9.9,4,6,6,3,3,100.0,0,0,False,surface
F13,D2D_ATR_MA:lo@p20,SHORT,counter,standard,6,6,0.27,0.057,34951,100.0,100.0,100.0,999.0,9.9,4,6,6,3,3,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p5,LONG,aligned,standard,6,6,0.27,0.057,23059,100.0,100.0,100.0,999.0,15.6,4,5,5,4,4,100.0,0,0,False,surface
F13,Volume_Avg_10:lo@p5,SHORT,counter,standard,6,6,0.27,0.057,23059,100.0,100.0,100.0,999.0,15.6,4,5,5,4,4,100.0,0,0,False,surface
F13,PrevDay_High_Dist_ATR:hi@p99,LONG,aligned,standard,6,6,0.27,0.057,7531,100.0,100.0,100.0,999.0,38.9,2,2,2,2,2,100.0,0,0,False,surface
F13,KAMA_Slope:lo@p3,SHORT,counter,standard,6,6,0.27,0.057,20,100.0,100.0,100.0,999.0,42.0,2,2,2,2,2,100.0,0,0,False,surface
F13,Harmonic_LLEMA:lo@p3,SHORT,counter,standard,6,6,0.27,0.057,10,100.0,100.0,100.0,999.0,42.0,2,2,2,2,2,100.0,0,0,False,surface
F13,D2D_ATR:lo@p40,LONG,aligned,standard,5,5,0.23,0.047,47977,100.0,100.0,100.0,999.0,20.0,1,1,1,2,2,100.0,0,0,False,surface
F13,Micro_GarmanKlass:lo@p30,SHORT,counter,standard,5,5,0.23,0.047,41134,100.0,100.0,100.0,999.0,8.8,1,2,2,3,3,100.0,0,0,False,surface
F13,PrevDay_Low_Dist_ATR:hi@p97,SHORT,aligned,standard,5,5,0.23,0.047,11352,100.0,100.0,100.0,999.0,32.5,2,2,2,2,2,100.0,0,0,False,surface
