family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_Hurst:hi@p50,LONG,aligned,standard,38113,1732.41,359.557,860,79.2,79.3,79.2,1.251,-443.2,6,22,14,6,4,1,0,70.6,False,none
F13,Micro_Hurst:hi@p50,LONG,counter,standard,37517,1705.32,353.934,917,81.1,81.3,81.1,1.252,-408.2,5,22,15,6,6,2,1,76.5,False,none
F13,Micro_Hurst:hi@p50,SHORT,aligned,standard,37517,1705.32,353.934,868,79.7,79.8,79.7,1.145,-611.5,4,22,14,6,6,1,0,70.6,False,none
F13,Micro_Hurst:hi@p50,SHORT,counter,standard,38113,1732.41,359.557,861,78.9,79.1,78.9,1.123,-413.1,6,22,13,6,3,4,0,64.7,False,none
F13,Micro_Hurst:hi@p60,LONG,aligned,standard,30495,1386.14,287.689,769,79.5,79.6,79.5,1.238,-319.2,5,22,14,6,5,1,0,70.6,False,none
F13,Micro_Hurst:hi@p60,LONG,counter,standard,29845,1356.59,281.557,781,80.8,81.0,80.8,1.214,-441.9,4,22,14,6,5,2,1,67.6,False,none
F13,Micro_Hurst:hi@p60,SHORT,aligned,standard,29845,1356.59,281.557,753,78.2,78.3,78.2,1.073,-683.2,4,22,15,6,5,1,0,70.6,False,none
F13,Micro_Hurst:hi@p60,SHORT,counter,standard,30495,1386.14,287.689,748,79.5,79.7,79.5,1.163,-638.4,6,22,15,6,3,3,0,70.6,False,none
F13,Micro_Hurst:hi@p70,LONG,aligned,standard,22823,1037.41,215.311,612,78.8,78.9,78.8,1.182,-267.3,5,22,12,6,4,1,0,61.8,False,none
F13,Micro_Hurst:hi@p70,LONG,counter,standard,22325,1014.77,210.613,643,79.9,80.1,79.9,1.121,-436.1,4,22,11,5,3,1,0,54.5,False,none
F13,Micro_Hurst:hi@p70,SHORT,aligned,standard,22325,1014.77,210.613,619,78.0,78.0,78.0,1.102,-511.1,3,22,13,5,3,1,0,57.6,False,none
F13,Micro_Hurst:hi@p70,SHORT,counter,standard,22823,1037.41,215.311,616,78.6,78.7,78.6,1.095,-379.0,4,22,14,6,4,2,0,64.7,False,none
F13,Micro_Hurst:hi@p80,LONG,aligned,standard,15182,690.09,143.226,466,79.2,79.4,79.2,1.238,-272.8,4,22,12,6,4,1,0,58.8,False,none
F13,Micro_Hurst:hi@p80,LONG,counter,standard,14780,671.82,139.434,479,79.5,79.5,79.5,1.143,-418.5,4,22,14,5,4,0,0,66.7,False,none
F13,Micro_Hurst:hi@p80,SHORT,aligned,standard,14780,671.82,139.434,483,78.3,78.2,78.3,1.035,-513.5,3,22,15,5,2,1,0,60.6,False,none
F13,Micro_Hurst:hi@p80,SHORT,counter,standard,15182,690.09,143.226,450,80.4,80.5,80.4,1.175,-395.9,4,22,13,6,4,3,0,61.8,False,none
F13,Micro_Hurst:hi@p90,LONG,aligned,standard,7430,337.73,70.094,277,78.3,78.3,78.3,1.165,-321.4,4,22,12,6,2,0,0,52.9,False,none
F13,Micro_Hurst:hi@p90,LONG,counter,standard,7536,342.55,71.094,289,81.3,81.3,81.3,1.171,-384.9,5,22,12,5,3,0,1,60.6,False,none
F13,Micro_Hurst:hi@p90,SHORT,aligned,standard,7536,342.55,71.094,294,78.9,78.8,78.9,1.088,-459.0,3,22,12,5,3,1,0,54.5,False,none
F13,Micro_Hurst:hi@p90,SHORT,counter,standard,7430,337.73,70.094,287,80.1,80.4,80.1,1.111,-406.5,4,22,14,6,4,1,0,64.7,False,none
F13,Micro_Hurst:hi@p95,LONG,aligned,standard,3783,171.95,35.689,152,86.8,86.8,86.8,2.181,-237.3,5,21,17,6,5,0,0,81.8,False,none
F13,Micro_Hurst:hi@p95,LONG,counter,standard,3984,181.09,37.585,166,82.5,82.5,82.5,1.341,-231.5,4,22,16,5,5,0,1,75.8,False,none
F13,Micro_Hurst:hi@p95,SHORT,aligned,standard,3984,181.09,37.585,167,78.4,78.3,78.4,1.036,-205.6,2,22,14,5,3,1,0,57.6,False,none
F13,Micro_Hurst:hi@p95,SHORT,counter,standard,3783,171.95,35.689,160,80.0,80.5,80.0,0.948,-306.0,3,21,12,6,3,1,0,54.5,False,none
F13,Micro_Hurst:hi@p97,LONG,aligned,standard,2276,103.45,21.472,93,91.4,91.4,91.4,3.631,-140.6,6,20,17,5,5,0,0,90.3,False,surface
F13,Micro_Hurst:hi@p97,LONG,counter,standard,2505,113.86,23.632,107,85.0,85.0,85.0,1.592,-115.1,4,19,14,5,4,0,0,73.3,False,none
F13,Micro_Hurst:hi@p97,SHORT,aligned,standard,2505,113.86,23.632,108,76.9,76.6,76.9,0.826,-199.9,2,19,11,5,3,1,0,53.3,False,none
F13,Micro_Hurst:hi@p97,SHORT,counter,standard,2276,103.45,21.472,97,78.4,78.4,78.4,0.839,-215.1,2,20,11,5,1,0,0,45.2,False,none
