trigger,direction,signal_def
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + OR_High_Side:==-1
F0,LONG,Micro_MomoTransfer:hi + Micro_RangeAccel:lo + AT_Regime_LT:==1
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + PrevDay_High_Side:==-1
F0,LONG,Micro_VPIN:lo + Volume:hi + ST_Flip_Event:==-1
F0,LONG,OBV_Macd:lo + Sqz_State:==1 + RangeOsc_State:==-2
F0,LONG,Micro_OrderFlowDelta:lo + Session_Low_Dist_ATR:lo + ADX_Value:hi
F0,LONG,OBV_Macd:lo + Micro_LogReturn:lo + Micro_Rejection:lo
F0,LONG,OBV_Macd:lo + Micro_MicroGap:hi + Micro_RollProxy:hi
F0,LONG,Micro_IBSP:lo + VWAP_Sigma:lo + Volume:hi
F0,LONG,OBV_Macd:lo + Micro_Lambda:lo + Micro_RollProxy:hi
F0,SHORT,OBVf_DirStepCount:hi + VAL_Side:==0 + WeeklyOpen_Side:==-1
F0,SHORT,Micro_IBSP:hi + Micro_VolAccel:hi + VWAP_Z:lo
F0,SHORT,EMA_Oscillator:lo + Micro_Hurst:hi + ADX_Value:lo
F0,SHORT,Efficiency_Ratio:hi + Micro_BarEntropy:hi + Body_Size:hi
F0,LONG,Bar_Range:hi + Micro_Lambda:lo + RangeOsc_State:==2
F0,LONG,D2D_ATR:hi + AT_Slope_ST:lo + Bars_Since_Flip:hi
F0,LONG,AT_Lookback_ST:hi + AT_Slope_ST:lo + Micro_RollProxy:hi
F0,LONG,Micro_VolOfVol:hi + AT_Regime_ST:==1 + OR_Low_Side:==-1
F0,LONG,D2D_ATR_MA:hi + AT_Slope_ST:lo + Micro_VolOfVol:hi
F0,LONG,Bar_Range:hi + Micro_MomoTransfer:hi + Micro_TickIntensity:hi
F0,LONG,Bar_Range:hi + OBV_Macd:lo + Micro_TickIntensity:hi
F0,SHORT,AT_Lookback_ST:hi + Sqz_Val:hi + Micro_TickIntensity:hi
F0,LONG,VWAP_Dist_ATR:lo + D2D_Signal:==1 + VWAP_Side:==1
F0,LONG,Bars_Since_Flip:hi + PrevDay_Low_Dist_ATR:lo + OR_Low_Side:==-1
F0,LONG,Bars_Since_Flip:hi + Volume_Avg_10:hi + Session_Low_Dist_ATR:lo
F0,LONG,Bars_Since_Flip:hi + Slope_Accel_LT:hi + Micro_VPIN:lo
F0,LONG,Round_500_Dist_ATR:lo + DailyOpen_Side:==1 + OR_Low_Side:==-1
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Upper_Wick:hi + VAH_Side:==-1
F0,LONG,Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + Micro_Rejection:lo
F0,LONG,Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + Micro_OrderFlowDelta:lo
F0,LONG,Slope_EMA_ST:lo + Micro_RangeVelocity:hi + D2D_DirStep:==-1
F0,LONG,Slope_Accel_LT:hi + Sqz_State:==1 + RangeOsc_State:==-2
F0,LONG,Slope_EMA_ST:hi + Micro_Rejection:lo + Session_Low_Dist_ATR:lo
F0,LONG,Slope_Accel_LT:hi + Micro_TickIntensity:hi + PrevDay_Low_Side:==-1
F0,LONG,AT_Slope_ST:lo + Micro_AutoCorr:hi + D2D_DirStep:==1
F0,LONG,AT_Slope_ST:lo + Momentum_Value:hi + AT_Regime_ST:==1
F0,LONG,AT_Slope_ST:lo + Micro_RollProxy:hi + RangeOsc_State:==-1
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + Volume:hi
F0,SHORT,Slope_Accel_LT:lo + Sqz_Val:hi + Micro_CSSpread:lo
F0,SHORT,Slope_Accel_LT:lo + Micro_OrderFlowDelta:hi + PoC_Side:==0
F0,SHORT,AT_Slope_ST:lo + Sqz_Val:hi + Micro_CSSpread:lo
F0,SHORT,Slope_EMA_ST:lo + Micro_ThrustEff:hi + ADX_Value:lo
F0,SHORT,AT_Slope_ST:hi + Micro_MicroGap:lo + Upper_Wick:hi
F0,LONG,Micro_Rejection:lo + AT_Regime_ST:==1 + PrevDay_Low_Side:==-1
F0,LONG,Micro_MicroGap:lo + AT_Regime_ST:==1 + OR_Low_Side:==-1
F0,LONG,Micro_Entropy:lo + Micro_HLAsymmetry:lo + OR_Low_Side:==-1
F0,SHORT,Micro_VolAccel:hi + Body_Size:lo + OR_Low_Side:==-1
F0,SHORT,Volume_Ratio_10:lo + Micro_RollProxy:lo + Volume:hi
F1,LONG,Sqz_Val:hi ->13-> Micro_OrderFlowDelta:lo
F1,LONG,ADX_Rising:==0 ->8-> D2D_DirStep:==-1
