# DOT S8B spec D.0.2 reach-vs-depth + D.2 coverage — episodes are MARKET, traded/missed are BOOK
# dataset_rows=177251 dataset_range=2026.01.19 15:49 → 2026.07.21 17:09
# oracle_sha256_12=518862bf19fb
# Coverage(B) = fraction of thrust episodes touched by >=1 book entry inside the span, same direction.
# Reported per (W, K, E, N) grid cell, never at a single setting (spec D.2), and stratified by episode
# absolute size (<50 / 50-100 / 100-200 / >200 pt) so small-move gains are never shown as equivalent to large.
# Episode absolute size = |Close[b1+W] - Close[b0]| in points.
stratum,direction,episodes,traded,traded_pct,missed_pct,W,K_pct,E_pct,N
ALL,UP,2419,54,2.2,97.8,15,0.85,0.75,5
<50,UP,1189,0,0.0,100.0,15,0.85,0.75,5
50-100,UP,762,10,1.3,98.7,15,0.85,0.75,5
100-200,UP,359,24,6.7,93.3,15,0.85,0.75,5
>200,UP,109,20,18.3,81.7,15,0.85,0.75,5
ALL,DOWN,2325,27,1.2,98.8,15,0.85,0.75,5
<50,DOWN,1066,0,0.0,100.0,15,0.85,0.75,5
50-100,DOWN,773,1,0.1,99.9,15,0.85,0.75,5
100-200,DOWN,386,15,3.9,96.1,15,0.85,0.75,5
>200,DOWN,100,11,11.0,89.0,15,0.85,0.75,5
ALL,UP,2087,62,3.0,97.0,15,0.85,0.75,10
<50,UP,934,0,0.0,100.0,15,0.85,0.75,10
50-100,UP,692,10,1.4,98.6,15,0.85,0.75,10
100-200,UP,347,27,7.8,92.2,15,0.85,0.75,10
>200,UP,114,25,21.9,78.1,15,0.85,0.75,10
ALL,DOWN,2067,33,1.6,98.4,15,0.85,0.75,10
<50,DOWN,919,0,0.0,100.0,15,0.85,0.75,10
50-100,DOWN,674,0,0.0,100.0,15,0.85,0.75,10
100-200,DOWN,365,18,4.9,95.1,15,0.85,0.75,10
>200,DOWN,109,15,13.8,86.2,15,0.85,0.75,10
ALL,UP,1669,42,2.5,97.5,30,0.85,0.75,5
<50,UP,597,0,0.0,100.0,30,0.85,0.75,5
50-100,UP,588,4,0.7,99.3,30,0.85,0.75,5
100-200,UP,359,14,3.9,96.1,30,0.85,0.75,5
>200,UP,125,24,19.2,80.8,30,0.85,0.75,5
ALL,DOWN,1633,20,1.2,98.8,30,0.85,0.75,5
<50,DOWN,516,0,0.0,100.0,30,0.85,0.75,5
50-100,DOWN,599,0,0.0,100.0,30,0.85,0.75,5
100-200,DOWN,389,5,1.3,98.7,30,0.85,0.75,5
>200,DOWN,129,15,11.6,88.4,30,0.85,0.75,5
ALL,UP,1351,46,3.4,96.6,30,0.85,0.75,10
<50,UP,454,0,0.0,100.0,30,0.85,0.75,10
50-100,UP,475,4,0.8,99.2,30,0.85,0.75,10
100-200,UP,304,18,5.9,94.1,30,0.85,0.75,10
>200,UP,118,24,20.3,79.7,30,0.85,0.75,10
ALL,DOWN,1328,21,1.6,98.4,30,0.85,0.75,10
<50,DOWN,393,0,0.0,100.0,30,0.85,0.75,10
50-100,DOWN,463,0,0.0,100.0,30,0.85,0.75,10
100-200,DOWN,345,4,1.2,98.8,30,0.85,0.75,10
>200,DOWN,127,17,13.4,86.6,30,0.85,0.75,10
ALL,UP,1394,23,1.6,98.4,30,0.9,0.75,5
<50,UP,467,0,0.0,100.0,30,0.9,0.75,5
50-100,UP,502,2,0.4,99.6,30,0.9,0.75,5
100-200,UP,312,6,1.9,98.1,30,0.9,0.75,5
>200,UP,113,15,13.3,86.7,30,0.9,0.75,5
ALL,DOWN,1414,15,1.1,98.9,30,0.9,0.75,5
<50,DOWN,418,0,0.0,100.0,30,0.9,0.75,5
50-100,DOWN,515,0,0.0,100.0,30,0.9,0.75,5
100-200,DOWN,354,3,0.8,99.2,30,0.9,0.75,5
>200,DOWN,127,12,9.4,90.6,30,0.9,0.75,5
ALL,UP,1127,27,2.4,97.6,30,0.9,0.75,10
<50,UP,355,0,0.0,100.0,30,0.9,0.75,10
50-100,UP,402,2,0.5,99.5,30,0.9,0.75,10
100-200,UP,264,8,3.0,97.0,30,0.9,0.75,10
>200,UP,106,17,16.0,84.0,30,0.9,0.75,10
ALL,DOWN,1144,17,1.5,98.5,30,0.9,0.75,10
<50,DOWN,329,0,0.0,100.0,30,0.9,0.75,10
50-100,DOWN,395,0,0.0,100.0,30,0.9,0.75,10
100-200,DOWN,297,3,1.0,99.0,30,0.9,0.75,10
>200,DOWN,123,14,11.4,88.6,30,0.9,0.75,10
